source,sourceUrl,target,targetUrl
Buddy Holly,https://www.allmusic.com/artist/buddy-holly-mn0000538677,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Carl Perkins,https://www.allmusic.com/artist/carl-perkins-mn0000792953,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Chuck Berry,https://www.allmusic.com/artist/chuck-berry-mn0000120521,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Elvis Presley,https://www.allmusic.com/artist/elvis-presley-mn0000180228,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Fats Domino,https://www.allmusic.com/artist/fats-domino-mn0000137494,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Gene Vincent,https://www.allmusic.com/artist/gene-vincent-mn0000803720,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Little Richard,https://www.allmusic.com/artist/little-richard-mn0000824022,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Lonnie Donegan,https://www.allmusic.com/artist/lonnie-donegan-mn0000277549,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Phil Spector,https://www.allmusic.com/artist/phil-spector-mn0000694967,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Ravi Shankar,https://www.allmusic.com/artist/ravi-shankar-mn0000404463,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Roy Orbison,https://www.allmusic.com/artist/roy-orbison-mn0000852007,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
The Everly Brothers,https://www.allmusic.com/artist/the-everly-brothers-mn0000046699,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
The Isley Brothers,https://www.allmusic.com/artist/the-isley-brothers-mn0000766893,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Arthur Alexander,https://www.allmusic.com/artist/arthur-alexander-mn0000931202,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Eddie Cochran,https://www.allmusic.com/artist/eddie-cochran-mn0000793988,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Larry Williams,https://www.allmusic.com/artist/larry-williams-mn0000135024,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Smokey Robinson,https://www.allmusic.com/artist/smokey-robinson-mn0000821571,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Bob Dylan,https://www.allmusic.com/artist/bob-dylan-mn0000066915,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
The Shirelles,https://www.allmusic.com/artist/the-shirelles-mn0000418981,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Little Willie John,https://www.allmusic.com/artist/little-willie-john-mn0000269972,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
The Marvelettes,https://www.allmusic.com/artist/the-marvelettes-mn0000376608,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
The Shadows,https://www.allmusic.com/artist/the-shadows-mn0000496405,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Bill Haley,https://www.allmusic.com/artist/bill-haley-mn0000077870,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
Buck Owens,https://www.allmusic.com/artist/buck-owens-mn0000941579,The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032
