name,url,influencedByCount,influencedCount
The Beatles,https://www.allmusic.com/artist/the-beatles-mn0000754032,25,276
Buddy Holly,https://www.allmusic.com/artist/buddy-holly-mn0000538677,13,85
Carl Perkins,https://www.allmusic.com/artist/carl-perkins-mn0000792953,10,16
Chuck Berry,https://www.allmusic.com/artist/chuck-berry-mn0000120521,19,84
Elvis Presley,https://www.allmusic.com/artist/elvis-presley-mn0000180228,27,109
Fats Domino,https://www.allmusic.com/artist/fats-domino-mn0000137494,20,23
Gene Vincent,https://www.allmusic.com/artist/gene-vincent-mn0000803720,9,25
Little Richard,https://www.allmusic.com/artist/little-richard-mn0000824022,14,31
Phil Spector,https://www.allmusic.com/artist/phil-spector-mn0000694967,6,11
Lonnie Donegan,https://www.allmusic.com/artist/lonnie-donegan-mn0000277549,12,16
Ravi Shankar,https://www.allmusic.com/artist/ravi-shankar-mn0000404463,1,11
Roy Orbison,https://www.allmusic.com/artist/roy-orbison-mn0000852007,8,55
The Everly Brothers,https://www.allmusic.com/artist/the-everly-brothers-mn0000046699,15,19
The Isley Brothers,https://www.allmusic.com/artist/the-isley-brothers-mn0000766893,10,17
Arthur Alexander,https://www.allmusic.com/artist/arthur-alexander-mn0000931202,11,12
Eddie Cochran,https://www.allmusic.com/artist/eddie-cochran-mn0000793988,7,17
Larry Williams,https://www.allmusic.com/artist/larry-williams-mn0000135024,1,1
Smokey Robinson,https://www.allmusic.com/artist/smokey-robinson-mn0000821571,11,23
Bob Dylan,https://www.allmusic.com/artist/bob-dylan-mn0000066915,35,129
The Shirelles,https://www.allmusic.com/artist/the-shirelles-mn0000418981,10,12
Little Willie John,https://www.allmusic.com/artist/little-willie-john-mn0000269972,2,11
The Marvelettes,https://www.allmusic.com/artist/the-marvelettes-mn0000376608,6,7
The Shadows,https://www.allmusic.com/artist/the-shadows-mn0000496405,17,17
Bill Haley,https://www.allmusic.com/artist/bill-haley-mn0000077870,10,14
Buck Owens,https://www.allmusic.com/artist/buck-owens-mn0000941579,12,18
Jerry Lee Lewis,https://www.allmusic.com/artist/jerry-lee-lewis-mn0000332141,18,24
10cc,https://www.allmusic.com/artist/10cc-mn0000502163,10,15
Badfinger,https://www.allmusic.com/artist/badfinger-mn0000064303,11,15
Bee Gees,https://www.allmusic.com/artist/bee-gees-mn0000043714,16,19
Cheap Trick,https://www.allmusic.com/artist/cheap-trick-mn0000105354,23,43
David Bowie,https://www.allmusic.com/artist/david-bowie-mn0000531986,24,183
Donovan,https://www.allmusic.com/artist/donovan-mn0000799053,15,18
Electric Light Orchestra,https://www.allmusic.com/artist/electric-light-orchestra-mn0000163229,16,21
Harry Nilsson,https://www.allmusic.com/artist/harry-nilsson-mn0000560208,13,32
Oasis,https://www.allmusic.com/artist/oasis-mn0000393345,17,31
The Byrds,https://www.allmusic.com/artist/the-byrds-mn0000631774,16,75
The Monkees,https://www.allmusic.com/artist/the-monkees-mn0000478603,15,13
The Zombies,https://www.allmusic.com/artist/the-zombies-mn0000582313,20,74
Aerosmith,https://www.allmusic.com/artist/aerosmith-mn0000604852,21,40
Big Star,https://www.allmusic.com/artist/big-star-mn0000051992,21,69
Cream,https://www.allmusic.com/artist/cream-mn0000112462,16,84
The Moody Blues,https://www.allmusic.com/artist/the-moody-blues-mn0000404434,10,15
Todd Rundgren,https://www.allmusic.com/artist/todd-rundgren-mn0000936425,19,24
Elton John,https://www.allmusic.com/artist/elton-john-mn0000796734,18,34
Turin Brakes,https://www.allmusic.com/artist/genesis-mn0000205668,4,0
Foo Fighters,https://www.allmusic.com/artist/foo-fighters-mn0000184043,26,25
Billy Joel,https://www.allmusic.com/artist/billy-joel-mn0000085915,13,21
Cat Stevens,https://www.allmusic.com/artist/cat-stevens-mn0000198480,11,21
Crowded House,https://www.allmusic.com/artist/crowded-house-mn0000130173,17,17
Genesis,https://www.allmusic.com/artist/genesis-mn0000199995,13,18
Jimi Hendrix,https://www.allmusic.com/artist/jimi-hendrix-mn0000354105,35,96
Jefferson Airplane,https://www.allmusic.com/artist/jefferson-airplane-mn0000840102,12,20
Yes,https://www.allmusic.com/artist/yes-mn0000685647,15,22
Blur,https://www.allmusic.com/artist/blur-mn0000758444,24,24
Coldplay,https://www.allmusic.com/artist/coldplay-mn0000775877,17,54
Buffalo Springfield,https://www.allmusic.com/artist/buffalo-springfield-mn0000939567,15,18
Elliott Smith,https://www.allmusic.com/artist/elliott-smith-mn0000172167,22,50
The Police,https://www.allmusic.com/artist/the-police-mn0000413524,14,28
The Replacements,https://www.allmusic.com/artist/the-replacements-mn0000422405,27,58
U2,https://www.allmusic.com/artist/u2-mn0000219203,21,62
Grateful Dead,https://www.allmusic.com/artist/grateful-dead-mn0000988440,36,61
Weezer,https://www.allmusic.com/artist/weezer-mn0000243008,30,57
Billie Eilish,https://www.allmusic.com/artist/billie-eilish-mn0003475903,21,3
Traffic,https://www.allmusic.com/artist/traffic-mn0000012472,15,17
Belle and Sebastian,https://www.allmusic.com/artist/belle-and-sebastian-mn0000153565,27,19
Led Zeppelin,https://www.allmusic.com/artist/led-zeppelin-mn0000139026,31,116
Pink Floyd,https://www.allmusic.com/artist/pink-floyd-mn0000346336,20,163
The Rolling Stones,https://www.allmusic.com/artist/the-rolling-stones-mn0000894465,27,107
The Velvet Underground,https://www.allmusic.com/artist/the-velvet-underground-mn0000840402,11,136
Talking Heads,https://www.allmusic.com/artist/talking-heads-mn0000131650,19,81
Ramones,https://www.allmusic.com/artist/ramones-mn0000490004,32,84
The Clash,https://www.allmusic.com/artist/the-clash-mn0000075747,28,83
Joy Division,https://www.allmusic.com/artist/joy-division-mn0000290812,15,65
The Smiths,https://www.allmusic.com/artist/the-smiths-mn0000899530,22,85
New Order,https://www.allmusic.com/artist/new-order-mn0000334193,16,58
Depeche Mode,https://www.allmusic.com/artist/depeche-mode-mn0000239921,19,90
Nirvana,https://www.allmusic.com/artist/nirvana-mn0000357406,30,104
Radiohead,https://www.allmusic.com/artist/radiohead-mn0000326249,24,61
Sonic Youth,https://www.allmusic.com/artist/sonic-youth-mn0000755156,36,162
Kraftwerk,https://www.allmusic.com/artist/kraftwerk-mn0000104714,10,127
Miles Davis,https://www.allmusic.com/artist/miles-davis-mn0000423829,22,72
James Brown,https://www.allmusic.com/artist/james-brown-mn0000128099,18,148
Marvin Gaye,https://www.allmusic.com/artist/marvin-gaye-mn0000316834,19,106
Michael Jackson,https://www.allmusic.com/artist/michael-jackson-mn0000467203,22,144
Prince,https://www.allmusic.com/artist/prince-mn0000361393,28,96
Black Sabbath,https://www.allmusic.com/artist/black-sabbath-mn0000771438,13,149
Metallica,https://www.allmusic.com/artist/metallica-mn0000446509,29,88
Bob Marley,https://www.allmusic.com/artist/bob-marley-mn0000071514,16,88
Neil Young,https://www.allmusic.com/artist/neil-young-mn0000379125,26,114
Fleetwood Mac,https://www.allmusic.com/artist/fleetwood-mac-mn0000182900,22,57
Muddy Waters,https://www.allmusic.com/artist/muddy-waters-mn0000608701,19,73
Ray Charles,https://www.allmusic.com/artist/ray-charles-mn0000046861,18,114
Stevie Wonder,https://www.allmusic.com/artist/stevie-wonder-mn0000622805,12,143
Deep Purple,https://www.allmusic.com/artist/deep-purple-mn0000192382,16,67
Robert Johnson,https://www.allmusic.com/artist/robert-johnson-mn0000832288,11,18
The Kinks,https://www.allmusic.com/artist/the-kinks-mn0000100160,17,113
Television,https://www.allmusic.com/artist/television-mn0000019701,12,19
Patti Smith,https://www.allmusic.com/artist/patti-smith-mn0000747445,12,24
Sex Pistols,https://www.allmusic.com/artist/sex-pistols-mn0000418740,24,119
Bauhaus,https://www.allmusic.com/artist/bauhaus-mn0000154998,12,24
The Cure,https://www.allmusic.com/artist/the-cure-mn0000137390,18,85
Siouxsie and the Banshees,https://www.allmusic.com/artist/siouxsie-and-the-banshees-mn0000748222,14,26
Pixies,https://www.allmusic.com/artist/pixies-mn0000895136,29,86
Pavement,https://www.allmusic.com/artist/pavement-mn0000752314,29,60
Björk,https://www.allmusic.com/artist/bj%C3%B6rk-mn0000769444,23,80
Brian Eno,https://www.allmusic.com/artist/brian-eno-mn0000617196,21,112
B.B. King,https://www.allmusic.com/artist/bb-king-mn0000059156,16,72
Wire,https://www.allmusic.com/artist/wire-mn0000672910,18,77
Dinosaur Jr.,https://www.allmusic.com/artist/dinosaur-jr-mn0000219483,19,38
Run-D.M.C.,https://www.allmusic.com/artist/run-dmc-mn0000358408,7,60
Kendrick Lamar,https://www.allmusic.com/artist/kendrick-lamar-mn0002709646,15,20
John Coltrane,https://www.allmusic.com/artist/john-coltrane-mn0000175553,21,83
Louis Armstrong,https://www.allmusic.com/artist/louis-armstrong-mn0000234518,10,78
Johnny Cash,https://www.allmusic.com/artist/johnny-cash-mn0000816890,21,78
Hank Williams,https://www.allmusic.com/artist/hank-williams-mn0000549797,15,144
Arcade Fire,https://www.allmusic.com/artist/arcade-fire-mn0000185591,20,13
The Strokes,https://www.allmusic.com/artist/the-strokes-mn0000568137,16,27
LCD Soundsystem,https://www.allmusic.com/artist/lcd-soundsystem-mn0000780005,8,12
Vampire Weekend,https://www.allmusic.com/artist/vampire-weekend-mn0000662416,18,14
Echo & the Bunnymen,https://www.allmusic.com/artist/echo-the-bunnymen-mn0000145128,16,23
Massive Attack,https://www.allmusic.com/artist/massive-attack-mn0000378288,14,28
Aphex Twin,https://www.allmusic.com/artist/aphex-twin-mn0000493848,18,38
Public Enemy,https://www.allmusic.com/artist/public-enemy-mn0000856785,21,42
A Tribe Called Quest,https://www.allmusic.com/artist/a-tribe-called-quest-mn0000478982,13,31
My Bloody Valentine,https://www.allmusic.com/artist/my-bloody-valentine-mn0000937003,20,133
Beck,https://www.allmusic.com/artist/beck-mn0000124492,29,29
The White Stripes,https://www.allmusic.com/artist/the-white-stripes-mn0000921710,21,17
Kanye West,https://www.allmusic.com/artist/kanye-west-mn0000361014,11,59
Eminem,https://www.allmusic.com/artist/eminem-mn0000157676,26,45
Sam Cooke,https://www.allmusic.com/artist/sam-cooke-mn0000238115,10,64
Otis Redding,https://www.allmusic.com/artist/otis-redding-mn0000414251,15,67
Parliament,https://www.allmusic.com/artist/parliament-mn0000129775,12,81
Aretha Franklin,https://www.allmusic.com/artist/aretha-franklin-mn0000927555,22,55
Gang of Four,https://www.allmusic.com/artist/gang-of-four-mn0000193231,10,53
Jay-Z,https://www.allmusic.com/artist/jay-z-mn0000224257,14,60
