name,influencedBy_count,influenced_count,allmusic_url
"10cc",10,15,"https://www.allmusic.com/artist/10cc-mn0000502163"
"A Tribe Called Quest",13,31,"https://www.allmusic.com/artist/a-tribe-called-quest-mn0000478982"
"Aerosmith",21,40,"https://www.allmusic.com/artist/aerosmith-mn0000604852"
"Aphex Twin",18,38,"https://www.allmusic.com/artist/aphex-twin-mn0000493848"
"Arcade Fire",20,13,"https://www.allmusic.com/artist/arcade-fire-mn0000185591"
"Aretha Franklin",22,55,"https://www.allmusic.com/artist/aretha-franklin-mn0000927555"
"Arthur Alexander",11,12,"https://www.allmusic.com/artist/arthur-alexander-mn0000931202"
"B.B. King",16,72,"https://www.allmusic.com/artist/bb-king-mn0000059156"
"Badfinger",11,15,"https://www.allmusic.com/artist/badfinger-mn0000064303"
"Bauhaus",12,24,"https://www.allmusic.com/artist/bauhaus-mn0000154998"
"Beck",29,29,"https://www.allmusic.com/artist/beck-mn0000124492"
"Bee Gees",16,19,"https://www.allmusic.com/artist/bee-gees-mn0000043714"
"Belle and Sebastian",27,19,"https://www.allmusic.com/artist/belle-and-sebastian-mn0000153565"
"Big Star",21,69,"https://www.allmusic.com/artist/big-star-mn0000051992"
"Bill Haley",10,14,"https://www.allmusic.com/artist/bill-haley-mn0000077870"
"Billie Eilish",21,3,"https://www.allmusic.com/artist/billie-eilish-mn0003475903"
"Billy Joel",13,21,"https://www.allmusic.com/artist/billy-joel-mn0000085915"
"Björk",23,80,"https://www.allmusic.com/artist/bj%C3%B6rk-mn0000769444"
"Black Sabbath",13,149,"https://www.allmusic.com/artist/black-sabbath-mn0000771438"
"Blur",24,24,"https://www.allmusic.com/artist/blur-mn0000758444"
"Bob Dylan",35,129,"https://www.allmusic.com/artist/bob-dylan-mn0000066915"
"Bob Marley",16,88,"https://www.allmusic.com/artist/bob-marley-mn0000071514"
"Brian Eno",21,112,"https://www.allmusic.com/artist/brian-eno-mn0000617196"
"Buck Owens",12,18,"https://www.allmusic.com/artist/buck-owens-mn0000941579"
"Buddy Holly",13,85,"https://www.allmusic.com/artist/buddy-holly-mn0000538677"
"Buffalo Springfield",15,18,"https://www.allmusic.com/artist/buffalo-springfield-mn0000939567"
"Carl Perkins",10,16,"https://www.allmusic.com/artist/carl-perkins-mn0000792953"
"Cat Stevens",11,21,"https://www.allmusic.com/artist/cat-stevens-mn0000198480"
"Charlie Parker",13,22,"https://www.allmusic.com/artist/charlie-parker-mn0000211758"
"Cheap Trick",23,43,"https://www.allmusic.com/artist/cheap-trick-mn0000105354"
"Chuck Berry",19,84,"https://www.allmusic.com/artist/chuck-berry-mn0000120521"
"Coldplay",17,54,"https://www.allmusic.com/artist/coldplay-mn0000775877"
"Cream",16,84,"https://www.allmusic.com/artist/cream-mn0000112462"
"Crowded House",17,17,"https://www.allmusic.com/artist/crowded-house-mn0000130173"
"David Bowie",24,183,"https://www.allmusic.com/artist/david-bowie-mn0000531986"
"Deep Purple",16,67,"https://www.allmusic.com/artist/deep-purple-mn0000192382"
"Depeche Mode",19,90,"https://www.allmusic.com/artist/depeche-mode-mn0000239921"
"Dinosaur Jr.",19,38,"https://www.allmusic.com/artist/dinosaur-jr-mn0000219483"
"Donovan",15,18,"https://www.allmusic.com/artist/donovan-mn0000799053"
"Echo & the Bunnymen",16,23,"https://www.allmusic.com/artist/echo-the-bunnymen-mn0000145128"
"Eddie Cochran",7,17,"https://www.allmusic.com/artist/eddie-cochran-mn0000793988"
"Electric Light Orchestra",16,21,"https://www.allmusic.com/artist/electric-light-orchestra-mn0000163229"
"Elliott Smith",22,50,"https://www.allmusic.com/artist/elliott-smith-mn0000172167"
"Elton John",18,34,"https://www.allmusic.com/artist/elton-john-mn0000796734"
"Elvis Presley",27,109,"https://www.allmusic.com/artist/elvis-presley-mn0000180228"
"Eminem",26,45,"https://www.allmusic.com/artist/eminem-mn0000157676"
"Fats Domino",20,23,"https://www.allmusic.com/artist/fats-domino-mn0000137494"
"Fleetwood Mac",22,57,"https://www.allmusic.com/artist/fleetwood-mac-mn0000182900"
"Foo Fighters",26,25,"https://www.allmusic.com/artist/foo-fighters-mn0000184043"
"Gang of Four",10,53,"https://www.allmusic.com/artist/gang-of-four-mn0000193231"
"Gene Vincent",9,25,"https://www.allmusic.com/artist/gene-vincent-mn0000803720"
"Genesis",13,18,"https://www.allmusic.com/artist/genesis-mn0000199995"
"Grateful Dead",36,61,"https://www.allmusic.com/artist/grateful-dead-mn0000988440"
"Hank Williams",15,144,"https://www.allmusic.com/artist/hank-williams-mn0000549797"
"Harry Nilsson",13,32,"https://www.allmusic.com/artist/harry-nilsson-mn0000560208"
"James Brown",18,148,"https://www.allmusic.com/artist/james-brown-mn0000128099"
"Jay-Z",14,60,"https://www.allmusic.com/artist/jay-z-mn0000224257"
"Jefferson Airplane",12,20,"https://www.allmusic.com/artist/jefferson-airplane-mn0000840102"
"Jerry Lee Lewis",18,24,"https://www.allmusic.com/artist/jerry-lee-lewis-mn0000332141"
"Jimi Hendrix",35,96,"https://www.allmusic.com/artist/jimi-hendrix-mn0000354105"
"John Coltrane",21,83,"https://www.allmusic.com/artist/john-coltrane-mn0000175553"
"Johnny Cash",21,78,"https://www.allmusic.com/artist/johnny-cash-mn0000816890"
"Joy Division",15,65,"https://www.allmusic.com/artist/joy-division-mn0000290812"
"Kanye West",11,59,"https://www.allmusic.com/artist/kanye-west-mn0000361014"
"Kendrick Lamar",15,20,"https://www.allmusic.com/artist/kendrick-lamar-mn0002709646"
"Kraftwerk",10,127,"https://www.allmusic.com/artist/kraftwerk-mn0000104714"
"Larry Williams",1,1,"https://www.allmusic.com/artist/larry-williams-mn0000135024"
"LCD Soundsystem",8,12,"https://www.allmusic.com/artist/lcd-soundsystem-mn0000780005"
"Led Zeppelin",31,116,"https://www.allmusic.com/artist/led-zeppelin-mn0000139026"
"Little Richard",14,31,"https://www.allmusic.com/artist/little-richard-mn0000824022"
"Little Willie John",2,11,"https://www.allmusic.com/artist/little-willie-john-mn0000269972"
"Lonnie Donegan",12,16,"https://www.allmusic.com/artist/lonnie-donegan-mn0000277549"
"Louis Armstrong",10,78,"https://www.allmusic.com/artist/louis-armstrong-mn0000234518"
"Marvin Gaye",19,106,"https://www.allmusic.com/artist/marvin-gaye-mn0000316834"
"Massive Attack",14,28,"https://www.allmusic.com/artist/massive-attack-mn0000378288"
"Metallica",29,88,"https://www.allmusic.com/artist/metallica-mn0000446509"
"Michael Jackson",22,144,"https://www.allmusic.com/artist/michael-jackson-mn0000467203"
"Miles Davis",22,72,"https://www.allmusic.com/artist/miles-davis-mn0000423829"
"Muddy Waters",19,73,"https://www.allmusic.com/artist/muddy-waters-mn0000608701"
"My Bloody Valentine",20,133,"https://www.allmusic.com/artist/my-bloody-valentine-mn0000937003"
"Neil Young",26,114,"https://www.allmusic.com/artist/neil-young-mn0000379125"
"New Order",16,58,"https://www.allmusic.com/artist/new-order-mn0000334193"
"Nirvana",30,104,"https://www.allmusic.com/artist/nirvana-mn0000357406"
"Oasis",17,31,"https://www.allmusic.com/artist/oasis-mn0000393345"
"Otis Redding",15,67,"https://www.allmusic.com/artist/otis-redding-mn0000414251"
"Parliament",12,81,"https://www.allmusic.com/artist/parliament-mn0000129775"
"Patti Smith",12,24,"https://www.allmusic.com/artist/patti-smith-mn0000747445"
"Pavement",29,60,"https://www.allmusic.com/artist/pavement-mn0000752314"
"Phil Spector",6,11,"https://www.allmusic.com/artist/phil-spector-mn0000694967"
"Pink Floyd",20,163,"https://www.allmusic.com/artist/pink-floyd-mn0000346336"
"Pixies",29,86,"https://www.allmusic.com/artist/pixies-mn0000895136"
"Prince",28,96,"https://www.allmusic.com/artist/prince-mn0000361393"
"Public Enemy",21,42,"https://www.allmusic.com/artist/public-enemy-mn0000856785"
"Radiohead",24,61,"https://www.allmusic.com/artist/radiohead-mn0000326249"
"Ramones",32,84,"https://www.allmusic.com/artist/ramones-mn0000490004"
"Ravi Shankar",1,11,"https://www.allmusic.com/artist/ravi-shankar-mn0000404463"
"Ray Charles",18,114,"https://www.allmusic.com/artist/ray-charles-mn0000046861"
"Robert Johnson",11,18,"https://www.allmusic.com/artist/robert-johnson-mn0000832288"
"Roy Orbison",8,55,"https://www.allmusic.com/artist/roy-orbison-mn0000852007"
"Run-D.M.C.",7,60,"https://www.allmusic.com/artist/run-dmc-mn0000358408"
"Sam Cooke",10,64,"https://www.allmusic.com/artist/sam-cooke-mn0000238115"
